time,open,high,low,close,volume
2017-07-28 01:00:00,1259.16,1260.11,1258.93,1259.01,764512
2017-07-28 02:00:00,1259.01,1260.26,1258.38,1260.0,1394222
2017-07-28 03:00:00,1259.95,1260.82,1259.18,1259.86,1483727
2017-07-28 04:00:00,1259.86,1260.16,1258.46,1259.38,1293553
2017-07-28 05:00:00,1259.41,1259.76,1259.04,1259.6,803273
2017-07-28 06:00:00,1259.63,1259.7,1257.61,1257.91,1287139
2017-07-28 07:00:00,1257.91,1258.31,1257.29,1257.73,794636
2017-07-28 08:00:00,1257.73,1259.98,1257.67,1259.38,1384533
2017-07-28 09:00:00,1259.42,1260.13,1258.07,1258.87,1600903
2017-07-28 10:00:00,1258.93,1260.45,1258.8,1259.74,1393414
2017-07-28 11:00:00,1259.79,1260.33,1258.73,1259.08,1374522
2017-07-28 12:00:00,1259.08,1260.42,1258.98,1259.11,1501580
2017-07-28 13:00:00,1259.14,1259.3,1258.18,1258.99,818854
2017-07-28 14:00:00,1258.95,1259.66,1258.08,1259.42,1353118
2017-07-28 15:00:00,1259.4,1267.03,1259.35,1263.5,4649146
2017-07-28 16:00:00,1263.51,1265.81,1262.16,1265.63,2442319
2017-07-28 17:00:00,1265.64,1267.87,1264.8,1266.32,2543899
2017-07-28 18:00:00,1266.33,1270.32,1265.92,1268.98,4527748
2017-07-28 19:00:00,1268.96,1269.44,1268.28,1268.63,2620688
2017-07-28 20:00:00,1268.64,1269.78,1268.58,1268.75,2277724
2017-07-28 21:00:00,1268.76,1270.75,1268.17,1270.54,1785668
2017-07-28 22:00:00,1270.51,1270.76,1268.92,1269.15,1057036
2017-07-28 23:00:00,1269.07,1269.81,1268.03,1268.91,326256
2017-07-31 01:00:00,1270.54,1271.04,1269.69,1270.22,1123526
2017-07-31 02:00:00,1270.13,1270.69,1269.53,1270.15,1608282
2017-07-31 03:00:00,1270.17,1270.38,1268.78,1269.31,1544055
2017-07-31 04:00:00,1269.31,1269.33,1268.06,1268.16,1311456
2017-07-31 05:00:00,1268.15,1269.54,1268.11,1268.96,1257135
2017-07-31 06:00:00,1268.98,1269.0,1267.22,1267.32,1220064
2017-07-31 07:00:00,1267.33,1268.44,1266.92,1268.13,901379
2017-07-31 08:00:00,1268.2,1269.01,1267.68,1268.65,1199324
2017-07-31 09:00:00,1268.64,1269.28,1267.43,1267.69,1620531
